Clarias gariepinus
Clarias magur
Cobitis choii
Collichthys lucidus
Colossoma macropomum
Coregonus clupeaformis
Coregonus maraena
Corvus macrorhynchos
Coryphaenoides acrolepis
Coryphaenoides armatus
Coryphaenoides cinereus
Coryphaenoides yaquinae
Crocodylus siamensis
Cromileptes altivelis
Ctenopharyngodon idella
Culter alburnus
Cynops ensicauda
Cynops orientalis
Cynops pyrrhogaster
Cyprinodon nevadensis
Dasyatis akajei
Deltistes luxatus
Dicentrarchus labrax
Didelphis virginiana
Diplodus sargus
Dipsosaurus dorsalis
Eidolon helvum
Elopichthys bambusa
Emberiza bruniceps
Emberiza melanocephala
Engystomops pustulosus
Epinephelus akaara
Epinephelus awoara
Epinephelus bruneus
Epinephelus coioides
Epinephelus fuscoguttatus
Epinephelus lanceolatus
Epinephelus malabaricus
Epinephelus merra
Eptatretus atami
Eremias argus
Eubalaena glacialis
Eurycea cirrigera
Exodon paradoxus
Gadus chalcogrammus
Gadus macrocephalus
Gasterosteus aculeatus
Girella punctata
Gloydius brevicaudus
Gobio gobio
Gobiocypris rarus
Gymnocephalus cernua
Haemorhous mexicanus
Haemulon aurolineatum
Hemibarbus mylodon
Heteropneustes fossilis
Hippoglossus hippoglossus
Hipposideros larvatus
Hipposideros pomona
Hucho taimen
Huso huso
Hypoatherina tsurugae
Hypophthalmichthys molitrix
Hypophthalmichthys nobilis
Ia io
Ictalurus furcatus
Labeo calbasu
Lagenorhynchus acutus
Lama glama
Larus argentatus
Lasiopodomys brandtii
Lateolabrax japonicus
Lateolabrax maculatus
Latris lineata
Leiocassis longirostris
Lepomis gibbosus
Lepomis macrochirus
Lethenteron camtschaticum
Leucoraja erinacea
Limosa limosa
Lonchura punctulata
Luciobrama macrocephalus
Lythrurus umbratilis
Macaca fuscata
Marmota monax
Mauremys mutica
Mauremys reevesii
Megalobrama amblycephala
Megaptera novaeangliae
Melanotaenia fluviatilis
Menidia beryllina
Menidia estor
Menidia peninsulae
Micropterus dolomieu
Micropterus henshalli
Micropterus salmoides
Microtus levis
Miniopterus schreibersii
Misgurnus anguillicaudatus
Misgurnus mizolepis
Morone saxatilis
Mugil incilis
Mugilogobius abei
Muntiacus muntjak
Mylopharyngodon piceus
Myodes glareolus
Myotis chinensis
Myotis daubentonii
Myotis laniger
Myotis ricketti
Myxocyprinus asiaticus
Nannobrachium regale
Neovison vison
Notamacropus eugenii
Nothobranchius furzeri
Notomys alexis
Notothenia coriiceps
Nyctalus noctula
Ochetobius elongatus
Ochotona curzoniae
Ocyurus chrysurus
Oncorhynchus clarkii
Oncorhynchus keta
Oncorhynchus kisutch
Oncorhynchus masou
Oncorhynchus tshawytscha
Onychostoma macrolepis
Oplegnathus fasciatus
Oreochromis aureus
Oreochromis mossambicus
Oryzias dancena
Oryzias woworae
Osmerus mordax
Osphronemus goramy
Ovibos moschatus
Oxydoras sifontesi
Oxyeleotris marmorata
Oxyuranus scutellatus
Pagrus auratus
Pagrus major
Paradoxurus hermaphroditus
Parajulis poecilepterus
Paralichthys adspersus
Paramisgurnus dabryanus
Passer domesticus
Passer montanus
Pelophylax lessonae
Perca fluviatilis
Petroleuciscus esfahani
Petromyzon marinus
Phoca vitulina
Phodopus campbelli
Phoxinus oxycephalus
Pimephales promelas
Platichthys flesus
Platichthys stellatus
Platycephalus bassensis
Plecoglossus altivelis
Pleurogrammus azonus
Poecilia salvatoris
Polypterus senegalus
Pomacentrus moluccensis
Porichthys notatus
Pristolepis fasciata
Protobothrops flavoviridis
Protopterus dolloi
Pseudacris regilla
Pseudopleuronectes americanus
Pseudorasbora parva
Pungitius pungitius
Puntius sophore
Pusa hispida
Rachycentron canadum
Rana boylii
Rana clamitans
Rana japonica
Rana luteiventris
Rana pipiens
Rana sierrae
Rana sylvatica
Rattus rattus
Rhamdia quelen
Rhincodon typus
Rhinolophus affinis
Rhinolophus ferrumequinum
Rhinolophus macrotis
Rhinolophus marshalli
Rhinolophus pearsonii
Rhinolophus pusillus
Rhinolophus rex
Rhinolophus sinicus
Rhodeus notatus
Rhodeus uyekii
Rita rita
Rousettus leschenaultii
Rucervus duvaucelii
Salaria pavo
Salmo marmoratus
Salvelinus fontinalis
Salvelinus namaycush
Sander lucioperca
Sander vitreus
Sardina pilchardus
Scarus iseri
Scatophagus argus
Schizothorax richardsonii
Sciaenops ocellatus
Scomber scombrus
Scomberomorus niphonius
Scotophilus heathii
Scotophilus kuhlii
Scyliorhinus retifer
Scyliorhinus torazame
Sebastes inermis
Sebastes schlegelii
Sebastiscus marmoratus
Seriola lalandi
Seriola quinqueradiata
Siganus canaliculatus
Sigmodon hispidus
Sillago japonica
Sinibotia reevesae
Siniperca chuatsi
Siniperca scherzeri
Sinocyclocheilus furcodorsalis
Sminthopsis crassicaudata
Solea senegalensis
Solea solea
Spermophilus citellus
Sphyraena idiastes
Spinibarbus denticulatus
Spinibarbus hollandi
Squaliobarbus curriculus
Squalius alburnoides
Squalius aradensis
Squalius carolitertii
Squalius pyrenaicus
Squalus acanthias
Stenella coeruleoalba
Suncus murinus
Syacium gunteri
Sylvia atricapilla
Symphysodon aequifasciata
Symphysodon haraldi
Syncerus caffer
Takifugu obscurus
Takydromus septentrionalis
Tanakia koreensis
Tanichthys albonubes
Taphozous melanopogon
Tenualosa ilisha
Thalassoma bifasciatum
Thunnus maccoyii
Thunnus orientalis
Thunnus thynnus
Thymallus arcticus
Tor putitora
Trachemys dorbigni
Trachemys scripta
Trachidermus fasciatus
Trachinotus blochii
Trachinotus ovatus
Trachurus japonicus
Trematomus bernacchii
Triakis scyllium
Tribolodon brandtii
Trichogaster fasciata
Trichosurus vulpecula
Tupaia belangeri
Tylonycteris pachypus
Ursus thibetanus
Xenocypris argentea
Xenopus borealis
Xiphophorus hellerii
Zacco platypus
Zosterisessor ophiocephalus
Alouatta sara
Cercopithecus wolfi
Colobus guereza
Hylobates agilis
Lophocebus albigena
Miopithecus talapoin
Plecturocebus cupreus
Pongo pygmaeus
Saimiri sciureus
Symphalangus syndactylus
Trachypithecus francoisi
Potorous tridactylus
Plecturocebus moloch
Pseudorca crassidens
Lacerta agilis
Cricetulus longicaudatus
Papio hamadryas
Miniopterus fuliginosus
Xenopus clivii
Xenopus gilli
Xenopus largeni
Xenopus petersii
Xenopus poweri
Xenopus victorianus
Anoplopoma fimbria
Delphinus capensis
Apalone spinifera
Eospalax fontanierii
Microtus oeconomus
Aeorestes cinereus
Anguilla bicolor
Anguilla mossambica
Babyrousa babyrussa
Balaenoptera omurai
Brachymystax lenok
Cairina moschata
Cryodraco antarcticus
Ginglymostoma cirratum
Gobionotothen gibberifrons
Lycodichthys dearborni
Mus spretus
Neophocaena phocaenoides
Parachaenichthys charcoti
Phasianus colchicus
Phodopus sungorus
Pygoscelis papua
Rutilus rutilus
Schizothorax prenanti
Elaphurus davidianus
Grampus griseus
Hippopotamus amphibius
Kogia sima
Manis pentadactyla
Mesoplodon densirostris
Moschus moschiferus
Platanista gangetica
Stenella attenuata
Tursiops aduncus
Alouatta seniculus
Alouatta caraya
Erythrocebus patas
Leontopithecus rosalia
Pithecia pithecia
Saguinus oedipus
Sapajus xanthosternos
Corvus splendens
Gillichthys mirabilis
Gillichthys seta
Eleutherodactylus coqui
Leiolepis reevesii
Staurotypus triporcatus
Carettochelys insculpta
Dibamus bourreti
Martes zibellina
Siebenrockiella crassicollis
Daboia russelii
Altolamprologus calvus
Amphilophus citrinellus
Coturnix coturnix
Cyphotilapia frontosa
Cyrtocara moorii
Dicerorhinus sumatrensis
