org1,org2,dst
Macaca mulatta,Piliocolobus tephrosceles,0.014255082592121982
Papio anubis,Rhinopithecus roxellana,0.014257939079714841
Lipotes vexillifer,Orcinus orca,0.01427091183119819
Mandrillus leucophaeus,Rhinopithecus roxellana,0.014285714285714285
Corapipo altera,Manacus vitellinus,0.014334862385321102
Lipotes vexillifer,Monodon monoceros,0.014387144992526158
Colobus angolensis,Macaca fascicularis,0.014458030403172504
Chlorocebus sabaeus,Rhinopithecus roxellana,0.014493341994153947
Piliocolobus tephrosceles,Theropithecus gelada,0.014513556618819777
Cercocebus atys,Rhinopithecus roxellana,0.014622026718800913
Macaca fascicularis,Piliocolobus tephrosceles,0.01463531669865643
Marmota marmota,Urocitellus parryii,0.014654503105590062
Piliocolobus tephrosceles,Rhinopithecus bieti,0.014655172413793103
Colobus angolensis,Theropithecus gelada,0.014803175653324513
Enhydra lutris,Mustela putorius,0.01480690679539547
Delphinapterus leucas,Lipotes vexillifer,0.014810648668916385
Lagenorhynchus obliquidens,Lipotes vexillifer,0.014821763602251407
Papio anubis,Piliocolobus tephrosceles,0.01485148514851485
Macaca nemestrina,Rhinopithecus roxellana,0.014882888744307092
Homo sapiens,Pongo abelii,0.01498012840110058
Macaca mulatta,Rhinopithecus bieti,0.015048939641109298
Colobus angolensis,Papio anubis,0.015081206496519721
Chlorocebus sabaeus,Colobus angolensis,0.015339966832504145
Rhinopithecus bieti,Theropithecus gelada,0.015476580412708812
Colobus angolensis,Mandrillus leucophaeus,0.015497275204359673
Chlorocebus sabaeus,Piliocolobus tephrosceles,0.01558005752636625
Pan troglodytes,Pongo abelii,0.015648913376186104
Astatotilapia calliptera,Oreochromis niloticus,0.0156688493919551
Cercocebus atys,Piliocolobus tephrosceles,0.015700096123037487
Macaca fascicularis,Rhinopithecus bieti,0.015717092337917484
Acanthochromis polyacanthus,Amphiprion ocellaris,0.015757290686735655
Cercocebus atys,Colobus angolensis,0.015791666666666666
Empidonax traillii,Neopelma chrysocephalum,0.01585173501577287
Maylandia zebra,Oreochromis niloticus,0.015873015873015872
Papio anubis,Rhinopithecus bieti,0.01589121887287025
Macaca nemestrina,Piliocolobus tephrosceles,0.01600609756097561
Mandrillus leucophaeus,Piliocolobus tephrosceles,0.01608455882352941
Monodon monoceros,Sousa chinensis,0.016090146750524108
Mandrillus leucophaeus,Rhinopithecus bieti,0.016152403682236617
Delphinapterus leucas,Sousa chinensis,0.01627000842459983
Gallus gallus,Numida meleagris,0.016348560700876095
Lipotes vexillifer,Neophocaena asiaeorientalis,0.016417486752460256
Colobus angolensis,Macaca nemestrina,0.01642548236859614
Fulmarus glacialis,Pygoscelis adeliae,0.01667824878387769
Macaca nemestrina,Rhinopithecus bieti,0.016716073781291172
Cercocebus atys,Rhinopithecus bieti,0.016762767710049423
